82275	20181113133209.248184	NGRID
256504	20181113133209.278168	NGRID
94322	20181113133209.288618	NGRID
118018	20181113133209.301602	NGRID
34372	20181113133209.363810	NEXRAD3
121	20181113133209.364008	IDS|DDPLUS
671	20181113133209.364107	IDS|DDPLUS
165742	20181113133209.386856	HDS
2144	20181113133209.387223	IDS|DDPLUS
171	20181113133209.386804	IDS|DDPLUS
315	20181113133209.386998	IDS|DDPLUS
388	20181113133209.387075	IDS|DDPLUS
1009	20181113133209.387157	IDS|DDPLUS
402	20181113133209.387271	IDS|DDPLUS
1350	20181113133209.387355	IDS|DDPLUS
110	20181113133209.387435	IDS|DDPLUS
96	20181113133209.387535	IDS|DDPLUS
102	20181113133209.387611	IDS|DDPLUS
125	20181113133209.387686	IDS|DDPLUS
42	20181113133209.387786	IDS|DDPLUS
543	20181113133209.387869	IDS|DDPLUS
165532	20181113133209.410265	HDS
97	20181113133209.410288	IDS|DDPLUS
108	20181113133209.410567	IDS|DDPLUS
488	20181113133209.410447	IDS|DDPLUS
125	20181113133209.410715	IDS|DDPLUS
44748	20181113133209.419295	NEXRAD3
28709	20181113133209.307336	NEXRAD2
12540	20181113133209.420747	NEXRAD3
65607	20181113133209.428240	NEXRAD3
10755	20181113133209.429430	NEXRAD3
313422	20181113133209.440560	NOTHER
17715	20181113133209.444428	NEXRAD3
42517	20181113133209.449152	NEXRAD3
11104	20181113133209.450404	NEXRAD3
969452	20181113133209.535289	NGRID
285882	20181113133209.566731	NGRID
15539	20181113133209.410620	NEXRAD2
87591	20181113133209.415302	NEXRAD2
41483	20181113133209.418197	NEXRAD2
345653	20181113133209.608153	NOTHER
181172	20181113133209.625889	HDS
1903	20181113133209.626281	HDS
18107	20181113133209.628427	NEXRAD3
1381	20181113133209.628246	HDS
4658	20181113133209.629105	NEXRAD3
1391	20181113133209.629263	HDS
88885	20181113133209.643174	NEXRAD3
12936	20181113133209.644618	NEXRAD3
6005	20181113133209.645128	NEXRAD3
11922	20181113133209.646634	NEXRAD3
11250	20181113133209.648114	NEXRAD3
90056	20181113133209.661616	NEXRAD3
6896	20181113133209.662742	NEXRAD3
34660	20181113133209.666117	NEXRAD3
3938	20181113133209.666966	NEXRAD3
232	20181113133209.666739	NEXRAD3
2543	20181113133209.666951	NEXRAD3
1488	20181113133209.667164	NEXRAD3
3708	20181113133209.667931	NEXRAD3
34727	20181113133209.672866	NEXRAD3
524	20181113133209.687736	NEXRAD3
90024	20181113133209.524003	NEXRAD2
66573	20181113133209.715840	NEXRAD3
124501	20181113133209.617010	NEXRAD2
808345	20181113133209.777896	NGRID
270140	20181113133209.811835	NGRID
117	20181113133209.813661	IDS|DDPLUS
145	20181113133209.832542	IDS|DDPLUS
173	20181113133209.832669	IDS|DDPLUS
172	20181113133209.832801	IDS|DDPLUS
158	20181113133209.832934	IDS|DDPLUS
162	20181113133209.832576	IDS|DDPLUS
76	20181113133209.832657	IDS|DDPLUS
96	20181113133209.832747	IDS|DDPLUS
130	20181113133209.832824	IDS|DDPLUS
97	20181113133209.832918	IDS|DDPLUS
90	20181113133209.832988	IDS|DDPLUS
192	20181113133209.833059	IDS|DDPLUS
108	20181113133209.833131	IDS|DDPLUS
123	20181113133209.833203	IDS|DDPLUS
168	20181113133209.836033	IDS|DDPLUS
148	20181113133209.836306	IDS|DDPLUS
96	20181113133209.836396	IDS|DDPLUS
113	20181113133209.836496	IDS|DDPLUS
144	20181113133209.836571	IDS|DDPLUS
167	20181113133209.836648	IDS|DDPLUS
99	20181113133209.836743	IDS|DDPLUS
118	20181113133209.836817	IDS|DDPLUS
81	20181113133209.836894	IDS|DDPLUS
191	20181113133209.836988	IDS|DDPLUS
132	20181113133209.837065	IDS|DDPLUS
125	20181113133209.837135	IDS|DDPLUS
82	20181113133209.837213	IDS|DDPLUS
125	20181113133209.837290	IDS|DDPLUS
369	20181113133209.837367	IDS|DDPLUS
325	20181113133209.837455	IDS|DDPLUS
123	20181113133209.837538	IDS|DDPLUS
114	20181113133209.837619	IDS|DDPLUS
353242	20181113133209.838759	NOTHER
162	20181113133209.873270	IDS|DDPLUS
100	20181113133209.873390	IDS|DDPLUS
269905	20181113133209.880999	NOTHER
168	20181113133209.894253	IDS|DDPLUS
14727	20181113133209.553243	NEXRAD2
95393	20181113133209.895965	HDS
26099	20181113133209.765973	NEXRAD2
85193	20181113133209.802304	NEXRAD2
30974	20181113133209.577310	NEXRAD2
77235	20181113133210.010894	NEXRAD2
313993	20181113133210.104114	NOTHER
255739	20181113133209.800914	NEXRAD2
32750	20181113133210.113060	NEXRAD2
351466	20181113133210.334994	NOTHER
263621	20181113133210.090223	NEXRAD2
53266	20181113133210.220733	NEXRAD2
354211	20181113133210.378955	NOTHER
162486	20181113133209.343848	NEXRAD2
55184	20181113133210.488654	NEXRAD2
288351	20181113133210.616109	NOTHER
279312	20181113133210.222051	NEXRAD2
68756	20181113133210.470908	NEXRAD2
31559	20181113133210.427993	NEXRAD2
44914	20181113133210.568209	NEXRAD2
61482	20181113133210.039023	NEXRAD2
7007	20181113133210.765169	NEXRAD2
94731	20181113133210.721564	NEXRAD2
16641	20181113133210.844921	NEXRAD2
122060	20181113133210.845360	NEXRAD2
10552	20181113133211.132042	NEXRAD3
1943	20181113133211.132497	NEXRAD3
17965	20181113133211.134013	NEXRAD3
18359	20181113133211.152700	NEXRAD3
11078	20181113133211.153933	NEXRAD3
8525	20181113133211.156007	NEXRAD3
4288	20181113133211.156532	NEXRAD3
86259	20181113133210.882946	NEXRAD2
